doi,title,year,citations,is_oa,type
https://doi.org/10.1016/j.corsci.2025.112938,Superior tribocorrosion resistance of Mg metal matrix composite by self-sealing PEO coating,2025,10,True,article
https://doi.org/10.1016/j.corsci.2025.113171,Atomistic insights into chloride-induced depassivation mechanisms of protective Cu2O films in marine environments,2025,10,True,article
https://doi.org/10.1016/j.corsci.2023.111415,Effect of Ru in the underlying superalloy on isothermal oxidation performance of Pt-Al coating,2023,9,True,article
https://doi.org/10.1016/j.corsci.2023.111557,Effect of hydrogen on electrochemical behavior of additively manufactured 316L in pressurized water reactor primary water,2023,9,True,article
https://doi.org/10.1016/j.corsci.2024.112133,In depth analysis of the passive film on martensitic tool alloy: Effect of tempering temperature,2024,9,True,article
https://doi.org/10.1016/j.corsci.2024.112524,Uncovering the electrochemical stability and corrosion reaction pathway of Mg (0001) surface: Insight from first-principles calculation,2024,9,True,article
https://doi.org/10.1016/j.corsci.2025.112759,"On the impact of Cr and Ag additions on the grain boundary microchemistry, hydrogen permeability and environmentally assisted cracking mechanism of an Al-Zn-Mg-Cu-Zr 7xxx alloy",2025,9,True,article
https://doi.org/10.1016/j.corsci.2025.112929,Enhancing corrosion resistance through crystallographic texture control in additively manufactured superelastic NiTi alloy,2025,9,True,article
https://doi.org/10.1016/j.corsci.2024.111896,Intergranular corrosion in sensitized austenitic stainless steel subjected to tensile loading and unloading in the elastic-plastic region,2024,8,True,article
https://doi.org/10.1016/j.corsci.2024.112047,The influences of traces of oxygen and sulfide on the corrosion of copper in concentrated chloride solutions,2024,8,True,article
https://doi.org/10.1016/j.corsci.2024.112455,Effect of Hf on high-temperature oxidation behavior of chromia-forming Al CoCrFeNi alloys,2024,8,True,article
https://doi.org/10.1016/j.corsci.2024.112519,Influence of friction stir welding on the localised corrosion behaviour of AA2060 T8E30 and AA2099 T83 Al-Li alloys,2024,8,True,article
https://doi.org/10.1016/j.corsci.2025.112782,Evaluating the importance of flavin-based electron shuttling in corrosion,2025,8,True,article
https://doi.org/10.1016/j.corsci.2025.112987,Corrosion performance of 2205 duplex stainless steel in simulated hydrometallurgical processes: A study of uniform and crevice corrosion,2025,8,True,article
https://doi.org/10.1016/j.corsci.2025.113063,Characteristics of the initiation and propagation of crevice corrosion in stainless steel,2025,8,True,article
https://doi.org/10.1016/j.corsci.2025.113167,Enhanced corrosion resistance of 2024 aluminum alloys with Cr2O3 thin layers by Atomic Layer Deposition,2025,8,True,article
https://doi.org/10.1016/j.corsci.2025.113355,In-situ engineered ZrB2-ZrSi2-MoSi2 coatings with self-healing multiphase glass networks for superior oxidation protection at 1973 K,2025,8,True,article
https://doi.org/10.1016/j.corsci.2023.111744,Electrochemical investigation on localised corrosion under silica sand deposit layers of carbon steel within a bespoke test cell,2023,7,True,article
